Signal,Red,Yellow,Green,Vehicles_Crossed
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,62,5,20,7
Signal 2 RED,87,5,20,22
Signal 3 GREEN,0,5,7,7
Signal 4 RED,12,5,20,0
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,61,5,20,7
Signal 2 RED,86,5,20,22
Signal 3 GREEN,0,5,6,8
Signal 4 RED,11,5,20,0
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,60,5,20,7
Signal 2 RED,85,5,20,22
Signal 3 GREEN,0,5,5,8
Signal 4 RED,10,5,20,0
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,59,5,20,7
Signal 2 RED,84,5,20,22
Signal 3 GREEN,0,5,4,8
Signal 4 RED,9,5,20,0
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,58,5,20,7
Signal 2 RED,83,5,20,22
Signal 3 GREEN,0,5,3,8
Signal 4 RED,8,5,20,0
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,57,5,20,7
Signal 2 RED,82,5,20,22
Signal 3 GREEN,0,5,2,8
Signal 4 RED,7,5,20,0
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,56,5,20,7
Signal 2 RED,81,5,20,22
Signal 3 GREEN,0,5,1,8
Signal 4 RED,6,5,20,0
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,25,5,20,7
Signal 2 RED,75,5,20,22
Signal 3 RED,100,5,20,8
Signal 4 GREEN,0,5,20,0
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,24,5,20,7
Signal 2 RED,74,5,20,22
Signal 3 RED,99,5,20,8
Signal 4 GREEN,0,5,19,7
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,23,5,20,7
Signal 2 RED,73,5,20,22
Signal 3 RED,98,5,20,8
Signal 4 GREEN,0,5,18,12
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,22,5,20,7
Signal 2 RED,72,5,20,22
Signal 3 RED,97,5,20,8
Signal 4 GREEN,0,5,17,13
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,21,5,20,7
