Signal,Red,Yellow,Green,Vehicles_Crossed
,Red,Yellow,Green,Vehicles Crossed
Signal 1 GREEN,0,5,1,223
Signal 2 RED,6,5,20,234
Signal 3 RED,56,5,20,60
Signal 4 RED,81,5,20,75
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,100,5,20,223
Signal 2 GREEN,0,5,20,234
Signal 3 RED,25,5,20,60
Signal 4 RED,75,5,20,75
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,99,5,20,223
Signal 2 GREEN,0,5,19,245
Signal 3 RED,24,5,20,60
Signal 4 RED,74,5,20,75
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,98,5,20,223
Signal 2 GREEN,0,5,18,254
Signal 3 RED,23,5,20,60
Signal 4 RED,73,5,20,75
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,97,5,20,223
Signal 2 GREEN,0,5,17,261
Signal 3 RED,22,5,20,60
Signal 4 RED,72,5,20,75
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,96,5,20,223
Signal 2 GREEN,0,5,16,265
Signal 3 RED,21,5,20,60
Signal 4 RED,71,5,20,75
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,95,5,20,223
Signal 2 GREEN,0,5,15,271
Signal 3 RED,20,5,20,60
Signal 4 RED,70,5,20,75
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,94,5,20,223
Signal 2 GREEN,0,5,14,276
Signal 3 RED,19,5,20,60
Signal 4 RED,69,5,20,75
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,93,5,20,223
Signal 2 GREEN,0,5,13,279
Signal 3 RED,18,5,20,60
Signal 4 RED,68,5,20,75
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,92,5,20,223
Signal 2 GREEN,0,5,12,281
Signal 3 RED,17,5,20,60
Signal 4 RED,67,5,20,75
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,91,5,20,223
Signal 2 GREEN,0,5,11,284
Signal 3 RED,16,5,20,60
Signal 4 RED,66,5,20,75
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,90,5,20,223
Signal 2 GREEN,0,5,10,285
Signal 3 RED,15,5,20,60
Signal 4 RED,65,5,20,75
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,89,5,20,223
Signal 2 GREEN,0,5,9,287
Signal 3 RED,14,5,20,60
Signal 4 RED,64,5,20,75
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,88,5,20,223
Signal 2 GREEN,0,5,8,288
Signal 3 RED,13,5,20,60
Signal 4 RED,63,5,20,75
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,87,5,20,223
Signal 2 GREEN,0,5,7,288
Signal 3 RED,12,5,20,60
Signal 4 RED,62,5,20,75
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,86,5,20,223
Signal 2 GREEN,0,5,6,288
Signal 3 RED,11,5,20,60
Signal 4 RED,61,5,20,75
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,85,5,20,223
Signal 2 GREEN,0,5,5,290
Signal 3 RED,10,5,20,60
Signal 4 RED,60,5,20,75
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,84,5,20,223
Signal 2 GREEN,0,5,4,290
Signal 3 RED,9,5,20,60
Signal 4 RED,59,5,20,75
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,83,5,20,223
Signal 2 GREEN,0,5,3,290
Signal 3 RED,8,5,20,60
Signal 4 RED,58,5,20,75
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,82,5,20,223
Signal 2 GREEN,0,5,2,290
Signal 3 RED,7,5,20,60
Signal 4 RED,57,5,20,75
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,81,5,20,223
Signal 2 GREEN,0,5,1,291
Signal 3 RED,6,5,20,60
Signal 4 RED,56,5,20,75
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,75,5,20,223
Signal 2 RED,100,5,20,292
Signal 3 GREEN,0,5,20,60
Signal 4 RED,25,5,20,75
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,74,5,20,223
Signal 2 RED,99,5,20,292
Signal 3 GREEN,0,5,19,67
Signal 4 RED,24,5,20,75
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,73,5,20,223
Signal 2 RED,98,5,20,292
Signal 3 GREEN,0,5,18,71
Signal 4 RED,23,5,20,75
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,72,5,20,223
Signal 2 RED,97,5,20,292
Signal 3 GREEN,0,5,17,73
Signal 4 RED,22,5,20,75
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,71,5,20,223
Signal 2 RED,96,5,20,292
Signal 3 GREEN,0,5,16,73
Signal 4 RED,21,5,20,75
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,70,5,20,223
Signal 2 RED,95,5,20,292
Signal 3 GREEN,0,5,15,74
Signal 4 RED,20,5,20,75
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,69,5,20,223
Signal 2 RED,94,5,20,292
Signal 3 GREEN,0,5,14,74
Signal 4 RED,19,5,20,75
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,68,5,20,223
Signal 2 RED,93,5,20,292
Signal 3 GREEN,0,5,13,74
Signal 4 RED,18,5,20,75
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,67,5,20,223
Signal 2 RED,92,5,20,292
Signal 3 GREEN,0,5,12,74
Signal 4 RED,17,5,20,75
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,66,5,20,223
Signal 2 RED,91,5,20,292
Signal 3 GREEN,0,5,11,74
Signal 4 RED,16,5,20,75
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,65,5,20,223
Signal 2 RED,90,5,20,292
Signal 3 GREEN,0,5,10,74
Signal 4 RED,15,5,20,75
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,64,5,20,223
Signal 2 RED,89,5,20,292
Signal 3 GREEN,0,5,9,74
Signal 4 RED,14,5,20,75
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,63,5,20,223
Signal 2 RED,88,5,20,292
Signal 3 GREEN,0,5,8,74
Signal 4 RED,13,5,20,75
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,62,5,20,223
Signal 2 RED,87,5,20,292
Signal 3 GREEN,0,5,7,74
Signal 4 RED,12,5,20,75
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,61,5,20,223
Signal 2 RED,86,5,20,292
Signal 3 GREEN,0,5,6,74
Signal 4 RED,11,5,20,75
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,60,5,20,223
Signal 2 RED,85,5,20,292
Signal 3 GREEN,0,5,5,74
Signal 4 RED,10,5,20,75
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,59,5,20,223
Signal 2 RED,84,5,20,292
Signal 3 GREEN,0,5,4,74
Signal 4 RED,9,5,20,75
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,58,5,20,223
Signal 2 RED,83,5,20,292
Signal 3 GREEN,0,5,3,75
Signal 4 RED,8,5,20,75
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,57,5,20,223
Signal 2 RED,82,5,20,292
Signal 3 GREEN,0,5,2,75
Signal 4 RED,7,5,20,75
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,56,5,20,223
Signal 2 RED,81,5,20,292
Signal 3 GREEN,0,5,1,75
Signal 4 RED,6,5,20,75
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,25,5,20,223
Signal 2 RED,75,5,20,292
Signal 3 RED,100,5,20,75
Signal 4 GREEN,0,5,20,75
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,24,5,20,223
Signal 2 RED,74,5,20,292
Signal 3 RED,99,5,20,75
Signal 4 GREEN,0,5,19,81
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,23,5,20,223
Signal 2 RED,73,5,20,292
Signal 3 RED,98,5,20,75
Signal 4 GREEN,0,5,18,82
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,22,5,20,223
Signal 2 RED,72,5,20,292
Signal 3 RED,97,5,20,75
Signal 4 GREEN,0,5,17,82
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,21,5,20,223
Signal 2 RED,71,5,20,292
Signal 3 RED,96,5,20,75
Signal 4 GREEN,0,5,16,84
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,20,5,20,223
Signal 2 RED,70,5,20,292
Signal 3 RED,95,5,20,75
Signal 4 GREEN,0,5,15,85
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,19,5,20,223
Signal 2 RED,69,5,20,292
Signal 3 RED,94,5,20,75
Signal 4 GREEN,0,5,14,85
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,18,5,20,223
Signal 2 RED,68,5,20,292
Signal 3 RED,93,5,20,75
Signal 4 GREEN,0,5,13,85
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,17,5,20,223
Signal 2 RED,67,5,20,292
Signal 3 RED,92,5,20,75
Signal 4 GREEN,0,5,12,86
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,16,5,20,223
Signal 2 RED,66,5,20,292
Signal 3 RED,91,5,20,75
Signal 4 GREEN,0,5,11,86
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,15,5,20,223
Signal 2 RED,65,5,20,292
Signal 3 RED,90,5,20,75
Signal 4 GREEN,0,5,10,87
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,14,5,20,223
Signal 2 RED,64,5,20,292
Signal 3 RED,89,5,20,75
Signal 4 GREEN,0,5,9,87
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,13,5,20,223
Signal 2 RED,63,5,20,292
Signal 3 RED,88,5,20,75
Signal 4 GREEN,0,5,8,87
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,12,5,20,223
Signal 2 RED,62,5,20,292
Signal 3 RED,87,5,20,75
Signal 4 GREEN,0,5,7,87
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,11,5,20,223
Signal 2 RED,61,5,20,292
Signal 3 RED,86,5,20,75
Signal 4 GREEN,0,5,6,87
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,10,5,20,223
Signal 2 RED,60,5,20,292
Signal 3 RED,85,5,20,75
Signal 4 GREEN,0,5,5,87
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,9,5,20,223
Signal 2 RED,59,5,20,292
Signal 3 RED,84,5,20,75
Signal 4 GREEN,0,5,4,87
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,8,5,20,223
Signal 2 RED,58,5,20,292
Signal 3 RED,83,5,20,75
Signal 4 GREEN,0,5,3,87
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,7,5,20,223
Signal 2 RED,57,5,20,292
Signal 3 RED,82,5,20,75
Signal 4 GREEN,0,5,2,87
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,6,5,20,223
Signal 2 RED,56,5,20,292
Signal 3 RED,81,5,20,75
Signal 4 GREEN,0,5,1,87
,Red,Yellow,Green,Vehicles Crossed
Signal 1 GREEN,0,5,20,223
Signal 2 RED,25,5,20,292
Signal 3 RED,75,5,20,75
Signal 4 RED,100,5,20,87
,Red,Yellow,Green,Vehicles Crossed
Signal 1 GREEN,0,5,19,233
Signal 2 RED,24,5,20,292
Signal 3 RED,74,5,20,75
Signal 4 RED,99,5,20,87
,Red,Yellow,Green,Vehicles Crossed
Signal 1 GREEN,0,5,18,243
Signal 2 RED,23,5,20,292
Signal 3 RED,73,5,20,75
Signal 4 RED,98,5,20,87
,Red,Yellow,Green,Vehicles Crossed
Signal 1 GREEN,0,5,17,249
Signal 2 RED,22,5,20,292
Signal 3 RED,72,5,20,75
Signal 4 RED,97,5,20,87
,Red,Yellow,Green,Vehicles Crossed
Signal 1 GREEN,0,5,16,254
Signal 2 RED,21,5,20,292
Signal 3 RED,71,5,20,75
Signal 4 RED,96,5,20,87
,Red,Yellow,Green,Vehicles Crossed
Signal 1 GREEN,0,5,15,260
Signal 2 RED,20,5,20,292
Signal 3 RED,70,5,20,75
Signal 4 RED,95,5,20,87
,Red,Yellow,Green,Vehicles Crossed
Signal 1 GREEN,0,5,14,264
Signal 2 RED,19,5,20,292
Signal 3 RED,69,5,20,75
Signal 4 RED,94,5,20,87
,Red,Yellow,Green,Vehicles Crossed
Signal 1 GREEN,0,5,13,267
Signal 2 RED,18,5,20,292
Signal 3 RED,68,5,20,75
Signal 4 RED,93,5,20,87
,Red,Yellow,Green,Vehicles Crossed
Signal 1 GREEN,0,5,12,267
Signal 2 RED,17,5,20,292
Signal 3 RED,67,5,20,75
Signal 4 RED,92,5,20,87
,Red,Yellow,Green,Vehicles Crossed
Signal 1 GREEN,0,5,11,269
Signal 2 RED,16,5,20,292
Signal 3 RED,66,5,20,75
Signal 4 RED,91,5,20,87
,Red,Yellow,Green,Vehicles Crossed
Signal 1 GREEN,0,5,10,270
Signal 2 RED,15,5,20,292
Signal 3 RED,65,5,20,75
Signal 4 RED,90,5,20,87
,Red,Yellow,Green,Vehicles Crossed
Signal 1 GREEN,0,5,9,270
Signal 2 RED,14,5,20,292
Signal 3 RED,64,5,20,75
Signal 4 RED,89,5,20,87
,Red,Yellow,Green,Vehicles Crossed
Signal 1 GREEN,0,5,8,270
Signal 2 RED,13,5,20,292
Signal 3 RED,63,5,20,75
Signal 4 RED,88,5,20,87
,Red,Yellow,Green,Vehicles Crossed
Signal 1 GREEN,0,5,7,270
Signal 2 RED,12,5,20,292
Signal 3 RED,62,5,20,75
Signal 4 RED,87,5,20,87
,Red,Yellow,Green,Vehicles Crossed
Signal 1 GREEN,0,5,6,271
Signal 2 RED,11,5,20,292
Signal 3 RED,61,5,20,75
Signal 4 RED,86,5,20,87
,Red,Yellow,Green,Vehicles Crossed
Signal 1 GREEN,0,5,5,271
Signal 2 RED,10,5,20,292
Signal 3 RED,60,5,20,75
Signal 4 RED,85,5,20,87
,Red,Yellow,Green,Vehicles Crossed
Signal 1 GREEN,0,5,4,272
Signal 2 RED,9,5,20,292
Signal 3 RED,59,5,20,75
Signal 4 RED,84,5,20,87
,Red,Yellow,Green,Vehicles Crossed
Signal 1 GREEN,0,5,3,273
Signal 2 RED,8,5,20,292
Signal 3 RED,58,5,20,75
Signal 4 RED,83,5,20,87
,Red,Yellow,Green,Vehicles Crossed
Signal 1 GREEN,0,5,2,273
Signal 2 RED,7,5,20,292
Signal 3 RED,57,5,20,75
Signal 4 RED,82,5,20,87
,Red,Yellow,Green,Vehicles Crossed
Signal 1 GREEN,0,5,1,273
Signal 2 RED,6,5,20,292
Signal 3 RED,56,5,20,75
Signal 4 RED,81,5,20,87
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,100,5,20,273
Signal 2 GREEN,0,5,20,292
Signal 3 RED,25,5,20,75
Signal 4 RED,75,5,20,87
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,99,5,20,273
Signal 2 GREEN,0,5,19,303
Signal 3 RED,24,5,20,75
Signal 4 RED,74,5,20,87
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,98,5,20,273
Signal 2 GREEN,0,5,18,313
Signal 3 RED,23,5,20,75
Signal 4 RED,73,5,20,87
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,97,5,20,273
Signal 2 GREEN,0,5,17,319
Signal 3 RED,22,5,20,75
Signal 4 RED,72,5,20,87
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,96,5,20,273
Signal 2 GREEN,0,5,16,324
Signal 3 RED,21,5,20,75
Signal 4 RED,71,5,20,87
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,95,5,20,273
Signal 2 GREEN,0,5,15,329
Signal 3 RED,20,5,20,75
Signal 4 RED,70,5,20,87
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,94,5,20,273
Signal 2 GREEN,0,5,14,334
Signal 3 RED,19,5,20,75
Signal 4 RED,69,5,20,87
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,93,5,20,273
Signal 2 GREEN,0,5,13,337
Signal 3 RED,18,5,20,75
Signal 4 RED,68,5,20,87
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,92,5,20,273
Signal 2 GREEN,0,5,12,338
Signal 3 RED,17,5,20,75
Signal 4 RED,67,5,20,87
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,91,5,20,273
Signal 2 GREEN,0,5,11,338
Signal 3 RED,16,5,20,75
Signal 4 RED,66,5,20,87
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,90,5,20,273
Signal 2 GREEN,0,5,10,338
Signal 3 RED,15,5,20,75
Signal 4 RED,65,5,20,87
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,89,5,20,273
Signal 2 GREEN,0,5,9,338
Signal 3 RED,14,5,20,75
Signal 4 RED,64,5,20,87
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,88,5,20,273
Signal 2 GREEN,0,5,8,338
Signal 3 RED,13,5,20,75
Signal 4 RED,63,5,20,87
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,87,5,20,273
Signal 2 GREEN,0,5,7,340
Signal 3 RED,12,5,20,75
Signal 4 RED,62,5,20,87
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,86,5,20,273
Signal 2 GREEN,0,5,6,340
Signal 3 RED,11,5,20,75
Signal 4 RED,61,5,20,87
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,85,5,20,273
Signal 2 GREEN,0,5,5,341
Signal 3 RED,10,5,20,75
Signal 4 RED,60,5,20,87
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,84,5,20,273
Signal 2 GREEN,0,5,4,341
Signal 3 RED,9,5,20,75
Signal 4 RED,59,5,20,87
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,83,5,20,273
Signal 2 GREEN,0,5,3,341
Signal 3 RED,8,5,20,75
Signal 4 RED,58,5,20,87
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,82,5,20,273
Signal 2 GREEN,0,5,2,341
Signal 3 RED,7,5,20,75
Signal 4 RED,57,5,20,87
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,81,5,20,273
Signal 2 GREEN,0,5,1,341
Signal 3 RED,6,5,20,75
Signal 4 RED,56,5,20,87
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,75,5,20,273
Signal 2 RED,100,5,20,341
Signal 3 GREEN,0,5,20,75
Signal 4 RED,25,5,20,87
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,74,5,20,273
Signal 2 RED,99,5,20,341
Signal 3 GREEN,0,5,19,82
Signal 4 RED,24,5,20,87
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,73,5,20,273
Signal 2 RED,98,5,20,341
Signal 3 GREEN,0,5,18,83
Signal 4 RED,23,5,20,87
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,72,5,20,273
Signal 2 RED,97,5,20,341
Signal 3 GREEN,0,5,17,83
Signal 4 RED,22,5,20,87
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,71,5,20,273
Signal 2 RED,96,5,20,341
Signal 3 GREEN,0,5,16,83
Signal 4 RED,21,5,20,87
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,70,5,20,273
Signal 2 RED,95,5,20,341
Signal 3 GREEN,0,5,15,83
Signal 4 RED,20,5,20,87
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,69,5,20,273
Signal 2 RED,94,5,20,341
Signal 3 GREEN,0,5,14,83
Signal 4 RED,19,5,20,87
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,68,5,20,273
Signal 2 RED,93,5,20,341
Signal 3 GREEN,0,5,13,83
Signal 4 RED,18,5,20,87
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,67,5,20,273
Signal 2 RED,92,5,20,341
Signal 3 GREEN,0,5,12,83
Signal 4 RED,17,5,20,87
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,66,5,20,273
Signal 2 RED,91,5,20,341
Signal 3 GREEN,0,5,11,83
Signal 4 RED,16,5,20,87
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,65,5,20,273
Signal 2 RED,90,5,20,341
Signal 3 GREEN,0,5,10,83
Signal 4 RED,15,5,20,87
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,64,5,20,273
Signal 2 RED,89,5,20,341
Signal 3 GREEN,0,5,9,83
Signal 4 RED,14,5,20,87
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,63,5,20,273
Signal 2 RED,88,5,20,341
Signal 3 GREEN,0,5,8,83
Signal 4 RED,13,5,20,87
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,62,5,20,273
Signal 2 RED,87,5,20,341
Signal 3 GREEN,0,5,7,83
Signal 4 RED,12,5,20,87
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,61,5,20,273
Signal 2 RED,86,5,20,341
Signal 3 GREEN,0,5,6,83
Signal 4 RED,11,5,20,87
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,60,5,20,273
Signal 2 RED,85,5,20,341
Signal 3 GREEN,0,5,5,84
Signal 4 RED,10,5,20,87
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,59,5,20,273
Signal 2 RED,84,5,20,341
Signal 3 GREEN,0,5,4,84
Signal 4 RED,9,5,20,87
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,58,5,20,273
Signal 2 RED,83,5,20,341
Signal 3 GREEN,0,5,3,84
Signal 4 RED,8,5,20,87
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,57,5,20,273
Signal 2 RED,82,5,20,341
Signal 3 GREEN,0,5,2,84
Signal 4 RED,7,5,20,87
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,56,5,20,273
Signal 2 RED,81,5,20,341
Signal 3 GREEN,0,5,1,84
Signal 4 RED,6,5,20,87
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,25,5,20,273
Signal 2 RED,75,5,20,341
Signal 3 RED,100,5,20,84
Signal 4 GREEN,0,5,20,87
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,24,5,20,273
Signal 2 RED,74,5,20,341
Signal 3 RED,99,5,20,84
Signal 4 GREEN,0,5,19,96
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,23,5,20,273
Signal 2 RED,73,5,20,341
Signal 3 RED,98,5,20,84
Signal 4 GREEN,0,5,18,96
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,22,5,20,273
Signal 2 RED,72,5,20,341
Signal 3 RED,97,5,20,84
Signal 4 GREEN,0,5,17,96
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,21,5,20,273
Signal 2 RED,71,5,20,341
Signal 3 RED,96,5,20,84
Signal 4 GREEN,0,5,16,96
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,20,5,20,273
Signal 2 RED,70,5,20,341
Signal 3 RED,95,5,20,84
Signal 4 GREEN,0,5,15,96
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,19,5,20,273
Signal 2 RED,69,5,20,341
Signal 3 RED,94,5,20,84
Signal 4 GREEN,0,5,14,96
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,18,5,20,273
Signal 2 RED,68,5,20,341
Signal 3 RED,93,5,20,84
Signal 4 GREEN,0,5,13,96
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,17,5,20,273
Signal 2 RED,67,5,20,341
Signal 3 RED,92,5,20,84
Signal 4 GREEN,0,5,12,97
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,16,5,20,273
Signal 2 RED,66,5,20,341
Signal 3 RED,91,5,20,84
Signal 4 GREEN,0,5,11,97
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,15,5,20,273
Signal 2 RED,65,5,20,341
Signal 3 RED,90,5,20,84
Signal 4 GREEN,0,5,10,97
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,14,5,20,273
Signal 2 RED,64,5,20,341
Signal 3 RED,89,5,20,84
Signal 4 GREEN,0,5,9,97
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,13,5,20,273
Signal 2 RED,63,5,20,341
Signal 3 RED,88,5,20,84
Signal 4 GREEN,0,5,8,97
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,12,5,20,273
Signal 2 RED,62,5,20,341
Signal 3 RED,87,5,20,84
Signal 4 GREEN,0,5,7,97
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,11,5,20,273
Signal 2 RED,61,5,20,341
Signal 3 RED,86,5,20,84
Signal 4 GREEN,0,5,6,98
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,10,5,20,273
Signal 2 RED,60,5,20,341
Signal 3 RED,85,5,20,84
Signal 4 GREEN,0,5,5,98
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,9,5,20,273
Signal 2 RED,59,5,20,341
Signal 3 RED,84,5,20,84
Signal 4 GREEN,0,5,4,98
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,8,5,20,273
Signal 2 RED,58,5,20,341
Signal 3 RED,83,5,20,84
Signal 4 GREEN,0,5,3,98
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,7,5,20,273
Signal 2 RED,57,5,20,341
Signal 3 RED,82,5,20,84
Signal 4 GREEN,0,5,2,98
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,6,5,20,273
Signal 2 RED,56,5,20,341
Signal 3 RED,81,5,20,84
Signal 4 GREEN,0,5,1,98
,Red,Yellow,Green,Vehicles Crossed
Signal 1 GREEN,0,5,20,273
Signal 2 RED,25,5,20,341
Signal 3 RED,75,5,20,84
Signal 4 RED,100,5,20,98
,Red,Yellow,Green,Vehicles Crossed
Signal 1 GREEN,0,5,19,283
Signal 2 RED,24,5,20,341
Signal 3 RED,74,5,20,84
Signal 4 RED,99,5,20,98
,Red,Yellow,Green,Vehicles Crossed
Signal 1 GREEN,0,5,18,292
Signal 2 RED,23,5,20,341
Signal 3 RED,73,5,20,84
Signal 4 RED,98,5,20,98
,Red,Yellow,Green,Vehicles Crossed
Signal 1 GREEN,0,5,17,300
Signal 2 RED,22,5,20,341
Signal 3 RED,72,5,20,84
Signal 4 RED,97,5,20,98
,Red,Yellow,Green,Vehicles Crossed
Signal 1 GREEN,0,5,16,305
Signal 2 RED,21,5,20,341
Signal 3 RED,71,5,20,84
Signal 4 RED,96,5,20,98
,Red,Yellow,Green,Vehicles Crossed
Signal 1 GREEN,0,5,15,311
Signal 2 RED,20,5,20,341
Signal 3 RED,70,5,20,84
Signal 4 RED,95,5,20,98
,Red,Yellow,Green,Vehicles Crossed
Signal 1 GREEN,0,5,14,316
Signal 2 RED,19,5,20,341
Signal 3 RED,69,5,20,84
Signal 4 RED,94,5,20,98
,Red,Yellow,Green,Vehicles Crossed
Signal 1 GREEN,0,5,13,318
Signal 2 RED,18,5,20,341
Signal 3 RED,68,5,20,84
Signal 4 RED,93,5,20,98
,Red,Yellow,Green,Vehicles Crossed
Signal 1 GREEN,0,5,12,318
Signal 2 RED,17,5,20,341
Signal 3 RED,67,5,20,84
Signal 4 RED,92,5,20,98
,Red,Yellow,Green,Vehicles Crossed
Signal 1 GREEN,0,5,11,318
Signal 2 RED,16,5,20,341
Signal 3 RED,66,5,20,84
Signal 4 RED,91,5,20,98
,Red,Yellow,Green,Vehicles Crossed
Signal 1 GREEN,0,5,10,318
Signal 2 RED,15,5,20,341
Signal 3 RED,65,5,20,84
