,State_Signal 1,Red_Signal 1,Green_Signal 1,Vehicles_Crossed_Signal 1,State_Signal 2,Red_Signal 2,Green_Signal 2,Vehicles_Crossed_Signal 2,State_Signal 3,Red_Signal 3,Green_Signal 3,Vehicles_Crossed_Signal 3,State_Signal 4,Red_Signal 4,Green_Signal 4,Vehicles_Crossed_Signal 4
49,RED,16,20,7,RED,66,20,22,RED,91,20,8,GREEN,0,11,14
50,RED,15,20,7,RED,65,20,22,RED,90,20,8,GREEN,0,10,14
51,RED,14,20,7,RED,64,20,22,RED,89,20,8,GREEN,0,9,14
52,RED,13,20,7,RED,63,20,22,RED,88,20,8,GREEN,0,8,14
53,RED,12,20,7,RED,62,20,22,RED,87,20,8,GREEN,0,7,15
54,RED,11,20,7,RED,61,20,22,RED,86,20,8,GREEN,0,6,15
55,RED,10,20,7,RED,60,20,22,RED,85,20,8,GREEN,0,5,15
56,RED,9,20,7,RED,59,20,22,RED,84,20,8,GREEN,0,4,15
57,RED,8,20,7,RED,58,20,22,RED,83,20,8,GREEN,0,3,15
58,RED,7,20,7,RED,57,20,22,RED,82,20,8,GREEN,0,2,15
59,RED,6,20,7,RED,56,20,22,RED,81,20,8,GREEN,0,1,15
60,GREEN,0,20,7,RED,25,20,22,RED,75,20,8,RED,100,20,16
61,GREEN,0,19,19,RED,24,20,22,RED,74,20,8,RED,99,20,16
62,GREEN,0,18,27,RED,23,20,22,RED,73,20,8,RED,98,20,16
63,GREEN,0,17,32,RED,22,20,22,RED,72,20,8,RED,97,20,16
64,GREEN,0,16,38,RED,21,20,22,RED,71,20,8,RED,96,20,16
65,GREEN,0,15,41,RED,20,20,22,RED,70,20,8,RED,95,20,16
66,GREEN,0,14,44,RED,19,20,22,RED,69,20,8,RED,94,20,16
67,GREEN,0,13,48,RED,18,20,22,RED,68,20,8,RED,93,20,16
68,GREEN,0,12,49,RED,17,20,22,RED,67,20,8,RED,92,20,16
69,GREEN,0,11,49,RED,16,20,22,RED,66,20,8,RED,91,20,16
70,GREEN,0,10,49,RED,15,20,22,RED,65,20,8,RED,90,20,16
71,GREEN,0,9,49,RED,14,20,22,RED,64,20,8,RED,89,20,16
72,GREEN,0,8,50,RED,13,20,22,RED,63,20,8,RED,88,20,16
73,GREEN,0,7,51,RED,12,20,22,RED,62,20,8,RED,87,20,16
74,GREEN,0,6,52,RED,11,20,22,RED,61,20,8,RED,86,20,16
75,GREEN,0,5,52,RED,10,20,22,RED,60,20,8,RED,85,20,16
76,GREEN,0,4,53,RED,9,20,22,RED,59,20,8,RED,84,20,16
77,GREEN,0,3,53,RED,8,20,22,RED,58,20,8,RED,83,20,16
78,GREEN,0,2,53,RED,7,20,22,RED,57,20,8,RED,82,20,16
79,GREEN,0,1,53,RED,6,20,22,RED,56,20,8,RED,81,20,16
80,RED,100,20,54,GREEN,0,20,22,RED,25,20,8,RED,75,20,16
81,RED,99,20,54,GREEN,0,19,33,RED,24,20,8,RED,74,20,16
82,RED,98,20,54,GREEN,0,18,43,RED,23,20,8,RED,73,20,16
83,RED,97,20,54,GREEN,0,17,51,RED,22,20,8,RED,72,20,16
84,RED,96,20,54,GREEN,0,16,56,RED,21,20,8,RED,71,20,16
85,RED,95,20,54,GREEN,0,15,62,RED,20,20,8,RED,70,20,16
86,RED,94,20,54,GREEN,0,14,63,RED,19,20,8,RED,69,20,16
87,RED,93,20,54,GREEN,0,13,63,RED,18,20,8,RED,68,20,16
88,RED,92,20,54,GREEN,0,12,64,RED,17,20,8,RED,67,20,16
89,RED,91,20,54,GREEN,0,11,65,RED,16,20,8,RED,66,20,16
90,RED,90,20,54,GREEN,0,10,66,RED,15,20,8,RED,65,20,16
91,RED,89,20,54,GREEN,0,9,66,RED,14,20,8,RED,64,20,16
92,RED,88,20,54,GREEN,0,8,67,RED,13,20,8,RED,63,20,16
93,RED,87,20,54,GREEN,0,7,68,RED,12,20,8,RED,62,20,16
94,RED,86,20,54,GREEN,0,6,68,RED,11,20,8,RED,61,20,16
95,RED,85,20,54,GREEN,0,5,70,RED,10,20,8,RED,60,20,16
96,RED,84,20,54,GREEN,0,4,70,RED,9,20,8,RED,59,20,16
97,RED,83,20,54,GREEN,0,3,70,RED,8,20,8,RED,58,20,16
98,RED,82,20,54,GREEN,0,2,72,RED,7,20,8,RED,57,20,16
99,RED,81,20,54,GREEN,0,1,74,RED,6,20,8,RED,56,20,16
100,RED,75,20,54,RED,100,20,74,GREEN,0,20,8,RED,25,20,16
